S No.	Tweet_Id
1	1134611438734053376
2	1134613472900132864
3	1134613955299741696
4	1134614008013709312
5	1134615930380509184
6	1134621176800710656
7	1134621848635826177
8	1134623637661716480
9	1134623939269931009
10	1134626587889033223
11	1134627376900390912
12	1134627857987178496
13	1134628192663138304
14	1134630027470036992
15	1134633944698236929
16	1134635182424825856
17	1134639029071298560
18	1134644438951694336
19	1134645165782704128
20	1134645348750843905
21	1134645497342435328
22	1134651644082364416
23	1134659006964781056
24	1134661896336859136
25	1134662235824037888
26	1134664217045454851
27	1134664870421508096
28	1134665024935485440
29	1134666466563887107
30	1134667786800648192
31	1134668406928621568
32	1134672929759858689
33	1134673645907980288
34	1134676201740689408
35	1134687747980124160
36	1134688310469652480
37	1134690059796525056
38	1134690243548856320
39	1134700516032880640
40	1134701306109669376
41	1134705646467727361
42	1134709678858997761
43	1134710728563277825
44	1134710849967288320
45	1134712970728968193
46	1134717118598012930
47	1134719298130317312
48	1134723900338823168
49	1134731207827120129
50	1134731381051781120
51	1134731661290033154
52	1134731810800250880
53	1134738641224392705
54	1134741174751825920
55	1134742975735652353
56	1134743840655519744
57	1134753486883708928
58	1134754026921312256
59	1134756080419053568
60	1134756528043376640
61	1134760666714267648
62	1134769532138999808
63	1134770025339019264
64	1134772351386685440
65	1134774760037126144
66	1134781144753475584
67	1134781852886228992
68	1134782179261714437
69	1134784069760368641
70	1134785816545366018
71	1134789805982801921
72	1134790879347187713
73	1134796378012606464
74	1134797411983994880
75	1134799168889769984
76	1134799642607128581
77	1134799732176564224
78	1134799974406008833
79	1134802610349912064
80	1134802830718623745
81	1134805181067976704
82	1134805356243120128
83	1134806049716875264
84	1134807409153708033
85	1134810506483683329
86	1134810625627045888
87	1134811643525902336
88	1134813381913919489
89	1134813922064850945
90	1134814957583970304
91	1134815209804242944
92	1134817982239203328
93	1134818571790557184
94	1134820446547763200
95	1134820784373993472
96	1134821276542021633
97	1134822917441802241
98	1134824936424529925
99	1134826584844771328
100	1134827952196202496
101	1134830377657389056
102	1134833396306325504
103	1134833598677360647
104	1134833692696862720
105	1134833776620650496
106	1134834687543844865
107	1134836086591688706
108	1134837612722548736
109	1134838537642287104
110	1134840993327570946
111	1134841822021378048
112	1134843796703916034
113	1134844283398369280
114	1134844804175675393
115	1134846511580438534
116	1134846785057374208
117	1134851867404451840
118	1134853082146377728
119	1134853122134855681
120	1134853194838884352
121	1134853381292548096
122	1134854435195228161
123	1134857121768660997
124	1134859447619280896
125	1134860181676994561
126	1134860513828102146
127	1134860718451372035
128	1134861843858636800
129	1134863949835513857
130	1134866231444553728
131	1134869196372926464
132	1134871099282509825
133	1134872085149474816
134	1134872242993717248
135	1134872652345237504
136	1134873545299963907
137	1134874494709968896
138	1134874504029790208
139	1134875451049029633
140	1134876632324497408
141	1134876863879208960
142	1134877414478057472
143	1134879866116087809
144	1134880061482516480
145	1134883277267972101
146	1134885971541893120
147	1134886921665208320
148	1134888228119633920
149	1134890811517231106
150	1134891102199197697
151	1134891879391215617
152	1134892509455405056
153	1134899046345256960
154	1134900863170895873
155	1134911378677018624
156	1134911582629236739
157	1134911957088256007
158	1134914562560577538
159	1134915631780900866
160	1134916091652825089
161	1134916816134955008
162	1134917259078451200
163	1134917379950030848
164	1134917507238809601
165	1134917815075573761
166	1134918854075977728
167	1134918853308190721
168	1134919389642395648
169	1134919642970054656
170	1134919782531305473
171	1134921067179511808
172	1134924350874902529
173	1134924466750803968
174	1134924616667979778
175	1134924629196398592
176	1134924810495123456
177	1134924868049342464
178	1134927197972684801
179	1134927576022093824
180	1134927657509019649
181	1134927692263018496
182	1134928413158981634
183	1134928668403408896
184	1134928946447966209
185	1134929467300876289
186	1134929621298888705
187	1134931089821196288
188	1134932102082772992
189	1134932239446360064
190	1134932601729368065
191	1134933029074427905
192	1134933210679382016
193	1134933792098017280
194	1134934041164210176
195	1134934128091193347
196	1134934420002103301
197	1134935506347843585
198	1134936493649215488
199	1134938685848338432
200	1134938787727990791
201	1134941690941313024
202	1134941783367008256
203	1134946169304637441
204	1134946509252730880
205	1134948719932186624
206	1134949699881000961
207	1134950487403442177
208	1134950962697777153
209	1134952257911480321
210	1134952792806891521
211	1134952889435262976
212	1134953651326410752
213	1134953709342011392
214	1134954831448346624
215	1134955564897841152
216	1134955599484063744
217	1134958120705433611
218	1134959073613484034
219	1134959748900687873
220	1134960212249653248
221	1134960522573602816
222	1134964257467097088
223	1134964257139724288
224	1134964286659469313
225	1134965151457841159
226	1134965217346150400
227	1134965289383268353
228	1134965599245918208
229	1134966143263956992
230	1134967066652340225
231	1134968997584224256
232	1134970074228543488
233	1134970243565182976
234	1134970268798074883
235	1134972921515057152
236	1134973021242961930
237	1134973982938193921
238	1134974996642783232
239	1134976838810443776
240	1134977363048091648
241	1134979318734630913
242	1134980332946518016
243	1134982741601075201
244	1134985221043044358
245	1134987142470483968
246	1134988326786686976
247	1134989060194353153
248	1134990303365144577
249	1134990363788226561
250	1134991932340559873
251	1134992441940090880
252	1134992703614214144
253	1134994248506531840
254	1134995434064285696
255	1134997090726268928
256	1134998362737000454
257	1134999007342866433
258	1134999163416924161
259	1134999927824760833
260	1135000515606196224
261	1135000584237518850
262	1135001632222208001
263	1135001850443382785
264	1135002803397701634
265	1135004076545138689
266	1135004656407633921
267	1135005027129581570
268	1135005234147856384
269	1135005615124832259
270	1135005624373272581
271	1135006376541990914
272	1135007631410716672
273	1135008388654555136
274	1135008450759614464
275	1135008462021287937
276	1135008478420881408
277	1135009394226270212
278	1135009443140296704
279	1135009629929431042
280	1135009631464386560
281	1135012237469507584
282	1135013682520494082
283	1135013981800738816
284	1135015577561513984
285	1135016207998783489
286	1135016751802904576
287	1135016822556827653
288	1135018824720355334
289	1135018969981571073
290	1135020087734415362
291	1135021552850759681
292	1135022854574039040
293	1135023038687326208
294	1135023767317549056
295	1135025703542558720
296	1135028417148129280
297	1135028748535947265
298	1135029547412402176
299	1135031192665960449
300	1135031517829369857
301	1135033244632735745
302	1135033925909274624
303	1135034293506453504
304	1135035254400589824
305	1135036259087331328
306	1135036790958698504
307	1135038515022974976
308	1135039037528596481
309	1135039991959183360
310	1135040797450129408
311	1135041122298867714
312	1135043265546334209
313	1135043673605861377
314	1135049898603233281
315	1135053356039311360
316	1135055706527338496
317	1135055714748051456
318	1135056089869934592
319	1135057652239745024
320	1135057661450473472
321	1135058252545241090
322	1135062105386835968
323	1135065919032647680
324	1135067350955417601
325	1135067381401870337
326	1135067586440376321
327	1135067918100848646
328	1135068532289495040
329	1135069792543674368
330	1135074063829934080
331	1135077106403205122
332	1135077351002259457
333	1135078187401129984
334	1135078882263130112
335	1135079389518077952
336	1135079424485781504
337	1135082138141831169
338	1135083564423213057
339	1135085382331183106
340	1135087130391265281
341	1135087471748898816
342	1135087973924515840
343	1135089034336899072
344	1135091534813114368
345	1135092261480480769
346	1135093241836126210
347	1135093807710650369
