S No.	Tweet_Id
1	1134611805576130561
2	1134612994791477248
3	1134614909600391168
4	1134617324072460290
5	1134617583938936834
6	1134621255196274688
7	1134622494269288449
8	1134623095363440641
9	1134623947578695681
10	1134627183698120704
11	1134627493669875712
12	1134627514675056640
13	1134629144258461696
14	1134629920452358144
15	1134630534091378689
16	1134633756067655680
17	1134633950830301184
18	1134634925850812417
19	1134638240592486401
20	1134639061614944257
21	1134640264214171648
22	1134640712824303621
23	1134642030288572416
24	1134642213516914688
25	1134642220148109312
26	1134643914848161792
27	1134645131250884609
28	1134645856601350145
29	1134647803798609920
30	1134649328792952832
31	1134653943542374400
32	1134657713504497666
33	1134658926127984640
34	1134659371730919424
35	1134661158839955456
36	1134661480492572672
37	1134669479722401792
38	1134669988910968833
39	1134670955689730048
40	1134673024723181569
41	1134675050928496640
42	1134677138408296448
43	1134678278604828672
44	1134678880671928321
45	1134683340160741377
46	1134686313154658304
47	1134689221204070401
48	1134701995795857408
49	1134706626076614658
50	1134713246731186176
51	1134717996331462656
52	1134719315276644353
53	1134729374312177665
54	1134738015597748225
55	1134744676500672513
56	1134753869962121216
57	1134757402354413568
58	1134759005199450113
59	1134760679884374016
60	1134764425846697985
61	1134769880991854592
62	1134773500223246336
63	1134773721347035136
64	1134773878935379968
65	1134774619045584897
66	1134774845667991552
67	1134776397283676160
68	1134776634446364672
69	1134776749747650561
70	1134778006088572930
71	1134779307501506560
72	1134779381715427329
73	1134781126520778753
74	1134781302350254080
75	1134783300344659968
76	1134783536412516353
77	1134787541826244608
78	1134788300957523968
79	1134788907869097984
80	1134788962323537920
81	1134791125183684608
82	1134796571709624322
83	1134799045061357569
84	1134799766125252609
85	1134800078579818496
86	1134804193242488832
87	1134805906808553472
88	1134808633693356032
89	1134808928917831681
90	1134809234439172096
91	1134809595053060096
92	1134809837613789184
93	1134810717981466625
94	1134811742138241024
95	1134812782606655488
96	1134813593956945925
97	1134813801528922113
98	1134814648333742081
99	1134814913329803265
100	1134817187863023616
101	1134818636286218240
102	1134819031351988224
103	1134819429248839680
104	1134821007150084096
105	1134821089752813571
106	1134822599895031810
107	1134822868217319426
108	1134824336408424448
109	1134825117635239936
110	1134825982479798272
111	1134826628717174785
112	1134827449592754176
113	1134827707932348417
114	1134828059419435014
115	1134829049560412161
116	1134830320224784384
117	1134830396653395969
118	1134832493268353025
119	1134832984320749569
120	1134834454994792449
121	1134835154122366976
122	1134837697485377536
123	1134839105836257283
124	1134839643478925313
125	1134840284645343232
126	1134841011815866369
127	1134841385125842950
128	1134842053341458433
129	1134842197164068871
130	1134842250255654912
131	1134843600213336067
132	1134844879597555713
133	1134844955401302016
134	1134845066877558784
135	1134846135821115392
136	1134846496174686208
137	1134846551065579520
138	1134846700781051905
139	1134846894985924608
140	1134847409308282880
141	1134847826201067520
142	1134848841293975553
143	1134849174292357120
144	1134849707136737280
145	1134850141054279680
146	1134850348751790085
147	1134850813724172288
148	1134852149651881984
149	1134852434386440193
150	1134854068789284864
151	1134854131078901760
152	1134854543383113728
153	1134857852458328064
154	1134858098160668672
155	1134860106678525952
156	1134860210940592129
157	1134860255450619905
158	1134863087125880832
159	1134866106902933505
160	1134866946376253440
161	1134869242661265408
162	1134869382008492033
163	1134869746082570240
164	1134871866013888512
165	1134872116275187713
166	1134873030952390656
167	1134874053603483649
168	1134874627770126338
169	1134878293788962816
170	1134879138098159616
171	1134879601027629056
172	1134879871640002560
173	1134883324495769600
174	1134885028834533378
175	1134886133391921152
176	1134888978471985152
177	1134890102814007297
178	1134891125649694720
179	1134894170923913216
180	1134897132270305280
181	1134899547786887169
182	1134903003444654080
183	1134903707286425601
184	1134904484252049409
185	1134904754361028609
186	1134904889455370240
187	1134909213522780162
